Town,Region
ANG MO KIO,North-East Region
BEDOK,East Region
BISHAN,Central Region
BUKIT BATOK,West Region
BUKIT MERAH,Central Region
BUKIT PANJANG,West Region
BUKIT TIMAH,Central Region
CENTRAL AREA,Central Region
CHOA CHU KANG,West Region
CLEMENTI,West Region
GEYLANG,East Region
HOUGANG,North-East Region
JURONG EAST,West Region
JURONG WEST,West Region
KALLANG/WHAMPOA,Central Region
MARINE PARADE,Central Region
PASIR RIS,East Region
PUNGGOL,North-East Region
QUEENSTOWN,Central Region
SEMBAWANG,North Region
SENGKANG,North-East Region
SERANGOON,North-East Region
TAMPINES,East Region
TOA PAYOH,Central Region
WOODLANDS,North Region
YISHUN,North Region
